"Time (s) Run #1","Output Voltage, Ch V (V) Run #1","Voltage, Ch A (V) Run #1","Time (s) Run #2","Output Voltage, Ch V (V) Run #2","Voltage, Ch A (V) Run #2","Time (s) Run #3","Output Voltage, Ch V (V) Run #3","Voltage, Ch A (V) Run #3","Time (s) Run #4","Output Voltage, Ch V (V) Run #4","Voltage, Ch A (V) Run #4","Time (s) Run #5","Output Voltage, Ch V (V) Run #5","Voltage, Ch A (V) Run #5","Time (s) Run #6","Output Voltage, Ch V (V) Run #6","Voltage, Ch A (V) Run #6","Time (s) Run #7","Output Voltage, Ch V (V) Run #7","Voltage, Ch A (V) Run #7","Time (s) Run #8","Output Voltage, Ch V (V) Run #8","Voltage, Ch A (V) Run #8","Time (s) Run #9","Output Voltage, Ch V (V) Run #9","Voltage, Ch A (V) Run #9","Time (s) Run #10","Output Voltage, Ch V (V) Run #10","Voltage, Ch A (V) Run #10","Time (s) Run #11","Output Voltage, Ch V (V) Run #11","Voltage, Ch A (V) Run #11","Time (s) Run #12","Output Voltage, Ch V (V) Run #12","Voltage, Ch A (V) Run #12","Time (s) Run #13","Output Voltage, Ch V (V) Run #13","Voltage, Ch A (V) Run #13","Time (s) Run #14","Output Voltage, Ch V (V) Run #14","Voltage, Ch A (V) Run #14","Time (s) Run #15","Output Voltage, Ch V (V) Run #15","Voltage, Ch A (V) Run #15","Time (s) Run #16","Output Voltage, Ch V (V) Run #16","Voltage, Ch A (V) Run #16","Time (s) Run #17","Output Voltage, Ch V (V) Run #17","Voltage, Ch A (V) Run #17","Time (s) Run #18","Output Voltage, Ch V (V) Run #18","Voltage, Ch A (V) Run #18","Time (s) Run #19","Output Voltage, Ch V (V) Run #19","Voltage, Ch A (V) Run #19","Time (s) Run #20","Output Voltage, Ch V (V) Run #20","Voltage, Ch A (V) Run #20","Time (s) Run #21","Output Voltage, Ch V (V) Run #21","Voltage, Ch A (V) Run #21"
4.000E-5,-1.997,0.023,4.000E-5,-4.275,-1.699E-4,4.000E-5,-4.630,0.016,4.000E-5,-2.779,0.027,4.000E-5,-3.909,-0.017,4.000E-5,-4.236,0.001,4.000E-5,4.941,0.088,4.000E-5,2.289,0.076,4.000E-5,-0.630,-0.020,4.000E-5,-4.954,-0.088,4.000E-5,4.756,0.111,4.000E-5,2.336,0.038,4.000E-5,1.977,0.066,4.000E-5,4.149,0.113,4.000E-5,-1.614,-0.034,4.000E-5,-4.962,-0.087,4.000E-5,2.307,0.077,4.000E-5,-4.914,-0.112,4.000E-5,-0.733,0.040,4.000E-5,2.998,0.045,4.000E-5,-3.401,0.012
4.200E-5,-1.935,0.029,4.200E-5,-4.303,0.005,4.200E-5,-4.607,0.017,4.200E-5,-2.726,0.028,4.200E-5,-3.985,-0.018,4.200E-5,-4.065,0.003,4.200E-5,4.819,0.083,4.200E-5,3.327,0.096,4.200E-5,-1.823,-0.040,4.200E-5,-4.717,-0.076,4.200E-5,4.984,0.112,4.200E-5,1.158,0.016,4.200E-5,3.063,0.093,4.200E-5,4.721,0.129,4.200E-5,-2.716,-0.056,4.200E-5,-4.950,-0.082,4.200E-5,2.857,0.091,4.200E-5,-3.689,-0.104,4.200E-5,-0.421,0.043,4.200E-5,3.105,0.046,4.200E-5,-3.353,0.016
4.400E-5,-1.876,0.032,4.400E-5,-4.330,0.008,4.400E-5,-4.584,0.017,4.400E-5,-2.674,0.033,4.400E-5,-4.048,-0.014,4.400E-5,-3.867,0.006,4.400E-5,4.625,0.074,4.400E-5,4.154,0.110,4.400E-5,-2.913,-0.061,4.400E-5,-4.182,-0.056,4.400E-5,4.894,0.112,4.400E-5,-0.094,-0.005,4.400E-5,3.954,0.111,4.400E-5,4.983,0.132,4.400E-5,-3.668,-0.076,4.400E-5,-4.871,-0.077,4.400E-5,3.342,0.099,4.400E-5,-1.055,-0.061,4.400E-5,-0.105,0.051,4.400E-5,3.198,0.046,4.400E-5,-3.303,0.022
4.600E-5,-1.824,0.033,4.600E-5,-4.365,0.005,4.600E-5,-4.563,0.022,4.600E-5,-2.616,0.032,4.600E-5,-4.130,-0.010,4.600E-5,-3.660,0.012,4.600E-5,4.360,0.068,4.600E-5,4.717,0.119,4.600E-5,-3.831,-0.077,4.600E-5,-3.389,-0.039,4.600E-5,4.510,0.101,4.600E-5,-1.309,-0.027,4.600E-5,4.592,0.127,4.600E-5,4.934,0.130,4.600E-5,-4.392,-0.093,4.600E-5,-4.699,-0.069,4.600E-5,3.783,0.099,4.600E-5,2.019,0.010,4.600E-5,0.206,0.057,4.600E-5,3.292,0.050,4.600E-5,-3.257,0.023
4.800E-5,-1.769,0.030,4.800E-5,-4.396,0.003,4.800E-5,-4.539,0.022,4.800E-5,-2.562,0.032,4.800E-5,-4.198,-0.009,4.800E-5,-3.443,0.016,4.800E-5,4.018,0.058,4.800E-5,4.983,0.121,4.800E-5,-4.500,-0.087,4.800E-5,-2.382,-0.014,4.800E-5,3.847,0.083,4.800E-5,-2.464,-0.048,4.800E-5,4.938,0.132,4.800E-5,4.601,0.122,4.800E-5,-4.832,-0.104,4.800E-5,-4.470,-0.054,4.800E-5,4.164,0.101,4.800E-5,4.317,0.078,4.800E-5,0.511,0.061,4.800E-5,3.382,0.049,4.800E-5,-3.206,0.024
5.000E-5,-1.713,0.030,5.000E-5,-4.418,0.006,5.000E-5,-4.509,0.028,5.000E-5,-2.503,0.032,5.000E-5,-4.263,-0.010,5.000E-5,-3.209,0.016,5.000E-5,3.618,0.049,5.000E-5,4.934,0.118,5.000E-5,-4.894,-0.088,5.000E-5,-1.220,0.007,5.000E-5,2.944,0.060,5.000E-5,-3.467,-0.066,5.000E-5,4.969,0.129,5.000E-5,3.955,0.104,5.000E-5,-4.955,-0.104,5.000E-5,-4.179,-0.047,5.000E-5,4.480,0.104,5.000E-5,4.955,0.115,5.000E-5,0.829,0.065,5.000E-5,3.474,0.051,5.000E-5,-3.156,0.022
5.200E-5,-1.652,0.032,5.200E-5,-4.450,0.007,5.200E-5,-4.481,0.024,5.200E-5,-2.451,0.027,5.200E-5,-4.320,-0.011,5.200E-5,-2.959,0.023,5.200E-5,3.168,0.038,5.200E-5,4.592,0.108,5.200E-5,-4.962,-0.086,5.200E-5,0.021,0.029,5.200E-5,1.850,0.038,5.200E-5,-4.256,-0.080,5.200E-5,4.706,0.121,5.200E-5,3.088,0.077,5.200E-5,-4.760,-0.094,5.200E-5,-3.806,-0.037,5.200E-5,4.724,0.105,5.200E-5,3.749,0.106,5.200E-5,1.140,0.072,5.200E-5,3.564,0.048,5.200E-5,-3.107,0.023
5.400E-5,-1.594,0.028,5.400E-5,-4.477,0.005,5.400E-5,-4.453,0.023,5.400E-5,-2.394,0.027,5.400E-5,-4.380,-0.007,5.400E-5,-2.705,0.028,5.400E-5,2.646,0.025,5.400E-5,3.950,0.094,5.400E-5,-4.716,-0.072,5.400E-5,1.256,0.051,5.400E-5,0.635,0.007,5.400E-5,-4.768,-0.087,5.400E-5,4.143,0.111,5.400E-5,2.019,0.055,5.400E-5,-4.273,-0.078,5.400E-5,-3.373,-0.023,5.400E-5,4.892,0.100,5.400E-5,1.144,0.058,5.400E-5,1.432,0.073,5.400E-5,3.646,0.046,5.400E-5,-3.056,0.022
5.600E-5,-1.535,0.025,5.600E-5,-4.502,0.008,5.600E-5,-4.423,0.023,5.600E-5,-2.333,0.030,5.600E-5,-4.435,-0.011,5.600E-5,-2.438,0.032,5.600E-5,2.096,0.014,5.600E-5,3.083,0.071,5.600E-5,-4.185,-0.059,5.600E-5,2.414,0.071,5.600E-5,-0.611,-0.016,5.600E-5,-4.989,-0.084,5.600E-5,3.327,0.089,5.600E-5,0.803,0.027,5.600E-5,-3.526,-0.058,5.600E-5,-2.890,-0.011,5.600E-5,4.986,0.102,5.600E-5,-1.930,-0.011,5.600E-5,1.730,0.074,5.600E-5,3.739,0.046,5.600E-5,-3.008,0.022
5.800E-5,-1.474,0.033,5.800E-5,-4.529,0.008,5.800E-5,-4.396,0.025,5.800E-5,-2.273,0.033,5.800E-5,-4.494,-0.010,5.800E-5,-2.163,0.038,5.800E-5,1.518,0.005,5.800E-5,2.012,0.047,5.800E-5,-3.390,-0.042,5.800E-5,3.428,0.091,5.800E-5,-1.808,-0.037,5.800E-5,-4.871,-0.076,5.800E-5,2.303,0.062,5.800E-5,-0.449,-0.001,5.800E-5,-2.550,-0.033,5.800E-5,-2.368,-0.004,5.800E-5,4.985,0.099,5.800E-5,-4.226,-0.075,5.800E-5,2.023,0.078,5.800E-5,3.818,0.050,5.800E-5,-2.952,0.024
6.000E-5,-1.421,0.030,6.000E-5,-4.555,0.007,6.000E-5,-4.369,0.023,6.000E-5,-2.219,0.032,6.000E-5,-4.553,-0.007,6.000E-5,-1.878,0.040,6.000E-5,0.910,-0.001,6.000E-5,0.798,0.017,6.000E-5,-2.387,-0.017,6.000E-5,4.228,0.108,6.000E-5,-2.907,-0.058,6.000E-5,-4.467,-0.064,6.000E-5,1.120,0.036,6.000E-5,-1.655,-0.029,6.000E-5,-1.413,-0.010,6.000E-5,-1.804,0.006,6.000E-5,4.920,0.094,6.000E-5,-4.905,-0.111,6.000E-5,2.301,0.078,6.000E-5,3.902,0.048,6.000E-5,-2.901,0.028
6.200E-5,-1.364,0.028,6.200E-5,-4.573,0.007,6.200E-5,-4.339,0.023,6.200E-5,-2.160,0.028,6.200E-5,-4.596,-0.009,6.200E-5,-1.593,0.039,6.200E-5,0.283,-0.014,6.200E-5,-0.453,-0.017,6.200E-5,-1.221,0.008,6.200E-5,4.763,0.118,6.200E-5,-3.834,-0.075,6.200E-5,-3.775,-0.045,6.200E-5,-0.130,0.005,6.200E-5,-2.766,-0.058,6.200E-5,-0.169,0.021,6.200E-5,-1.203,0.024,6.200E-5,4.785,0.088,6.200E-5,-3.688,-0.101,6.200E-5,2.571,0.079,6.200E-5,3.973,0.044,6.200E-5,-2.852,0.024
