Sample Index,Voltage (V)
290,0.273705
291,0.273705
292,0.273705
293,0.268817
294,0.268817
295,0.273705
296,0.273705
297,0.273705
298,0.273705
299,0.268817
300,0.273705
301,0.273705
302,0.273705
303,0.268817
304,0.268817
305,0.268817
306,0.268817
307,0.268817
308,0.268817
309,0.273705
310,0.263930
311,0.263930
312,0.268817
313,0.263930
314,0.268817
315,0.263930
316,0.263930
317,0.268817
318,0.254154
319,0.273705
320,0.273705
321,0.268817
322,0.268817
323,0.263930
324,0.268817
325,0.268817
326,0.273705
327,0.263930
328,0.268817
329,0.268817
330,0.263930
331,0.268817
332,0.273705
333,0.268817
334,0.249267
335,0.263930
336,0.268817
337,0.263930
338,0.273705
339,0.263930
340,0.263930
341,0.263930
342,0.263930
343,0.263930
344,0.254154
345,0.273705
346,0.268817
347,0.263930
348,0.263930
349,0.263930
350,0.263930
351,0.254154
352,0.268817
353,0.268817
354,0.263930
355,0.268817
356,0.259042
357,0.268817
358,0.263930
359,0.273705
360,0.249267
361,0.273705
362,0.263930
363,0.268817
364,0.263930
365,0.268817
366,0.263930
367,0.254154
368,0.254154
369,0.268817
370,0.263930
371,0.268817
372,0.254154
373,0.268817
374,0.259042
375,0.249267
376,0.259042
377,0.268817
378,0.259042
379,0.263930
380,0.254154
381,0.263930
382,0.259042
383,0.263930
384,0.249267
385,0.259042
386,0.259042
387,0.254154
388,0.249267
389,0.263930
390,0.249267
391,0.254154
392,0.254154
393,0.263930
394,0.254154
395,0.263930
396,0.254154
397,0.254154
398,0.259042
399,0.254154
400,0.254154
401,0.263930
402,0.254154
403,0.249267
404,0.254154
405,0.259042
406,0.259042
407,0.263930
408,0.254154
409,0.254154
410,0.259042
411,0.254154
412,0.249267
413,0.263930
414,0.249267
415,0.249267
416,0.254154
417,0.254154
418,0.249267
419,0.254154
420,0.254154
421,0.254154
422,0.259042
423,0.254154
424,0.259042
425,0.263930
426,0.259042
427,0.249267
428,0.254154
429,0.263930
430,0.249267
431,0.259042
432,0.254154
433,0.263930
434,0.249267
435,0.254154
436,0.254154
437,0.249267
438,0.254154
439,0.254154
440,0.249267
441,0.254154
442,0.239492
443,0.259042
444,0.254154
445,0.249267
446,0.249267
447,0.249267
448,0.249267
449,0.254154
450,0.249267
451,0.249267
452,0.249267
453,0.249267
454,0.249267
455,0.249267
456,0.249267
457,0.254154
458,0.249267
459,0.254154
460,0.259042
461,0.239492
462,0.263930
463,0.254154
464,0.259042
465,0.263930
466,0.244379
467,0.263930
468,0.263930
469,0.263930
470,0.249267
471,0.249267
472,0.249267
473,0.249267
474,0.254154
475,0.254154
476,0.254154
477,0.254154
478,0.254154
479,0.249267
480,0.254154
481,0.249267
482,0.254154
483,0.249267
484,0.249267
485,0.244379
486,0.254154
487,0.249267
488,0.254154
489,0.249267
490,0.249267
491,0.249267
492,0.239492
493,0.249267
494,0.249267
495,0.249267
496,0.244379
497,0.249267
498,0.259042
499,0.249267
500,0.254154
501,0.239492
502,0.249267
503,0.249267
504,0.244379
505,0.249267
506,0.249267
507,0.244379
508,0.249267
509,0.234604
510,0.254154
511,0.249267
